accountName;pagename;processedPages;name;cost;appdexValue
lloyds retail;a/account_details;3981;5min;463;0.7293393619693544
lloyds retail;a/account_overview_personal;3951;5min;463;0.7510756770437864
lloyds retail;logon/login.jsp;3261;5min;463;0.6560870898497393
lloyds retail;a/logon/entermemorableinformation.jsp;2318;5min;463;0.5030198446937014
lloyds retail;a/logon/interstitialpage.jsp;1507;5min;463;0.7707365627073657
lloyds retail;unauth/pages/loggedoff.jsp;1471;5min;463;0.5815771583956492
lloyds retail;a/mobile/account_details;778;5min;463;0.8181233933161953
lloyds retail;a/mobile/account_overview;746;5min;463;0.8431635388739946
lloyds retail;a/make_payment;520;5min;463;0.8701923076923077
lloyds retail;a/useradmin/mobile/logon/entermemorableinformation.jsp;512;5min;463;0.546875
lloyds retail;a/make_transfer;368;5min;463;0.8519021739130435
lloyds retail;a/makepayment/makepaymentconfirmation.jsp;358;5min;463;0.8477653631284916
lloyds retail;a/makepayment/makepaymentsuccessful.jsp;324;5min;463;0.7422839506172839
lloyds retail;a/maketransfer/maketransfersuccessful.jsp;280;5min;463;0.6553571428571429
lloyds retail;a/maketransfer/maketransferconfirmation.jsp;274;5min;463;0.8795620437956204
lloyds retail;a/useradmin/mobile/logon/mobileinterstitialpage.jsp;229;5min;463;0.6855895196506551
lloyds retail;a/makepayment/fasterpaymentinprogress.jsp;227;5min;463;0.8854625550660793
lloyds retail;unauth/pages/mobiledefault/loggedoffmobile.jsp;205;5min;463;0.5829268292682926
lloyds retail;a/set_up_new_payee_for_payment;132;5min;463;0.9015151515151515
lloyds retail;a/logoff/timedlogoff.jsp;117;5min;463;0.905982905982906
lloyds retail;a/logon/reentermemorableinformation.jsp;102;5min;463;0.8578431372549019
lloyds retail;APPLICATION;35305;5min;106;0.7090638719728084
lloyds retail;a/account_details;85137;hourly;281;0.5983943526316408
lloyds retail;a/account_overview_personal;84514;hourly;281;0.5930851693210593
lloyds retail;logon/login.jsp;80318;hourly;281;0.47829253716477005
lloyds retail;a/logon/entermemorableinformation.jsp;53538;hourly;281;0.30617505323321753
lloyds retail;a/logon/interstitialpage.jsp;30466;hourly;281;0.6143241646425524
lloyds retail;unauth/pages/loggedoff.jsp;28885;hourly;281;0.40022503029253936
lloyds retail;a/mobile/account_details;18504;hourly;281;0.6984976221357544
lloyds retail;a/mobile/account_overview;17272;hourly;281;0.723743631310792
lloyds retail;a/useradmin/mobile/logon/entermemorableinformation.jsp;11903;hourly;281;0.3883474754263631
lloyds retail;a/make_payment;10452;hourly;281;0.7478951396861845
lloyds retail;a/makepayment/makepaymentconfirmation.jsp;8011;hourly;281;0.7019098739233554
lloyds retail;a/make_transfer;7391;hourly;281;0.7480043295900419
lloyds retail;a/makepayment/makepaymentsuccessful.jsp;7014;hourly;281;0.612132877102937
lloyds retail;a/maketransfer/maketransferconfirmation.jsp;6026;hourly;281;0.7529040823099901
lloyds retail;a/maketransfer/maketransfersuccessful.jsp;5921;hourly;281;0.580729606485391
lloyds retail;a/useradmin/mobile/logon/mobileinterstitialpage.jsp;5694;hourly;281;0.5681419037583421
lloyds retail;a/makepayment/fasterpaymentinprogress.jsp;5436;hourly;281;0.7700515084621045
lloyds retail;unauth/pages/mobiledefault/loggedoffmobile.jsp;5055;hourly;281;0.4334322453016815
lloyds retail;a/set_up_new_payee_for_payment;2977;hourly;281;0.7714141753443063
lloyds retail;a/logon/reentermemorableinformation.jsp;2309;hourly;281;0.7083152880034647
lloyds retail;a/logoff/timedlogoff.jsp;2211;hourly;281;0.7643600180913613
lloyds retail;a/mobile/make_transfer;1782;hourly;281;0.7831088664421998
lloyds retail;a/sr_hub;1694;hourly;281;0.6641086186540732
