accountName,pagename,processedPages,name,cost,appdexValue
"lloyds retail","a/account_details",4498,"5min",455,0.7406625166740773
"lloyds retail","a/account_overview_personal",3551,"5min",455,0.7299352295128133
"lloyds retail","logon/login.jsp",2943,"5min",455,0.5783214407067618
"lloyds retail","a/logon/entermemorableinformation.jsp",2047,"5min",455,0.4924279433317049
"lloyds retail","unauth/pages/loggedoff.jsp",1230,"5min",455,0.5711382113821138
"lloyds retail","a/logon/interstitialpage.jsp",1122,"5min",455,0.7370766488413547
"lloyds retail","a/mobile/account_overview",672,"5min",455,0.7485119047619048
"lloyds retail","a/mobile/account_details",665,"5min",455,0.7556390977443609
"lloyds retail","a/make_payment",484,"5min",455,0.8367768595041323
"lloyds retail","a/useradmin/mobile/logon/entermemorableinformation.jsp",442,"5min",455,0.504524886877828
"lloyds retail","a/makepayment/makepaymentconfirmation.jsp",351,"5min",455,0.7905982905982906
"lloyds retail","a/makepayment/makepaymentsuccessful.jsp",320,"5min",455,0.73125
"lloyds retail","a/make_transfer",307,"5min",455,0.8615635179153095
"lloyds retail","a/maketransfer/maketransferconfirmation.jsp",261,"5min",455,0.8620689655172413
"lloyds retail","a/makepayment/fasterpaymentinprogress.jsp",249,"5min",455,0.8755020080321285
"lloyds retail","a/maketransfer/maketransfersuccessful.jsp",246,"5min",455,0.6849593495934959
"lloyds retail","unauth/pages/mobiledefault/loggedoffmobile.jsp",206,"5min",455,0.5436893203883495
"lloyds retail","a/set_up_new_payee_for_payment",177,"5min",455,0.867231638418079
"lloyds retail","a/logoff/timedlogoff.jsp",103,"5min",455,0.8640776699029126
"lloyds retail","APPLICATION",21686,"5min",100,0.6882320391035691
"lloyds retail","a/account_details",87879,"hourly",191,0.7267151424117252
"lloyds retail","a/account_overview_personal",75024,"hourly",191,0.7294865642994242
"lloyds retail","logon/login.jsp",61940,"hourly",191,0.5675330965450436
"lloyds retail","a/logon/entermemorableinformation.jsp",43054,"hourly",191,0.48029219120174665
"lloyds retail","unauth/pages/loggedoff.jsp",26620,"hourly",191,0.5633734034560481
"lloyds retail","a/logon/interstitialpage.jsp",24802,"hourly",191,0.7434481090234658
"lloyds retail","a/mobile/account_details",15674,"hourly",191,0.7661413806303432
"lloyds retail","a/mobile/account_overview",15132,"hourly",191,0.7651665344964313
"lloyds retail","a/make_payment",10520,"hourly",191,0.8507604562737643
"lloyds retail","a/useradmin/mobile/logon/entermemorableinformation.jsp",10383,"hourly",191,0.5098237503611673
"lloyds retail","a/makepayment/makepaymentconfirmation.jsp",7986,"hourly",191,0.8052842474330077
"lloyds retail","a/makepayment/makepaymentsuccessful.jsp",7154,"hourly",191,0.7221833939055075
"lloyds retail","a/make_transfer",6615,"hourly",191,0.8588813303099018
"lloyds retail","a/makepayment/fasterpaymentinprogress.jsp",5237,"hourly",191,0.8683406530456368
"lloyds retail","a/maketransfer/maketransferconfirmation.jsp",5191,"hourly",191,0.8548449239067617
"lloyds retail","a/maketransfer/maketransfersuccessful.jsp",5075,"hourly",191,0.6742857142857143
"lloyds retail","unauth/pages/mobiledefault/loggedoffmobile.jsp",4658,"hourly",191,0.5369257191927866
"lloyds retail","a/set_up_new_payee_for_payment",3993,"hourly",191,0.8710242925118958
"lloyds retail","a/logoff/timedlogoff.jsp",2255,"hourly",191,0.8543237250554324
"lloyds retail","a/logon/reentermemorableinformation.jsp",2107,"hourly",191,0.8232083531086853
"lloyds retail","a/useradmin/mobile/logon/mobileinterstitialpage.jsp",1643,"hourly",191,0.6582471089470481
"lloyds retail","a/sr_hub",1479,"hourly",191,0.7349560513860717
"lloyds retail","a/mobile/make_transfer",1453,"hourly",191,0.8203716448726772
"lloyds retail","a/mobile/make_payment",1319,"hourly",191,0.8150113722517058
"lloyds retail","a/payments/mobile/maketransfer/maketransfersuccessful.jsp",1084,"hourly",191,0.5419741697416974
"lloyds retail","a/payments/mobile/maketransfer/maketransferconfirmation.jsp",1041,"hourly",191,0.7483189241114313
"lloyds retail","a/payments/mobile/makepayment/makepaymentconfirmation.jsp",954,"hourly",191,0.7237945492662474
"lloyds retail","a/payments/mobile/makepayment/paymentsuccessful.jsp",823,"hourly",191,0.5060753341433779
"lloyds retail","APPLICATION",458019,"hourly",152,0.682772985400169
"lloyds retail","a/account_details",1507662,"daily",654,0.7508957578024783
"lloyds retail","a/account_overview_personal",1290101,"daily",654,0.760102891168986
"lloyds retail","logon/login.jsp",1118447,"daily",654,0.6358906591014147
"lloyds retail","a/logon/entermemorableinformation.jsp",749241,"daily",654,0.5250153154992853
"lloyds retail","unauth/pages/loggedoff.jsp",455260,"daily",654,0.6135680709924
"lloyds retail","a/logon/interstitialpage.jsp",427122,"daily",654,0.7694757001512449
"lloyds retail","a/mobile/account_details",303415,"daily",654,0.8091903828090239
"lloyds retail","a/mobile/account_overview",286638,"daily",654,0.8297190184134693
"lloyds retail","a/useradmin/mobile/logon/entermemorableinformation.jsp",191586,"daily",654,0.5493955717014813
"lloyds retail","a/make_payment",170592,"daily",654,0.865834857437629
"lloyds retail","a/makepayment/makepaymentconfirmation.jsp",128963,"daily",654,0.8237478966835449
"lloyds retail","a/makepayment/makepaymentsuccessful.jsp",116260,"daily",654,0.741536211938758
"lloyds retail","a/make_transfer",106170,"daily",654,0.8689036450974852
"lloyds retail","a/useradmin/mobile/logon/mobileinterstitialpage.jsp",91524,"daily",654,0.6722553647130807
"lloyds retail","a/makepayment/fasterpaymentinprogress.jsp",90397,"daily",654,0.8874077679569012
"lloyds retail","unauth/pages/mobiledefault/loggedoffmobile.jsp",88293,"daily",654,0.592142072417972
"lloyds retail","a/maketransfer/maketransferconfirmation.jsp",83423,"daily",654,0.8685554343526366
"lloyds retail","a/maketransfer/maketransfersuccessful.jsp",81955,"daily",654,0.6435116832408029
"lloyds retail","a/set_up_new_payee_for_payment",59530,"daily",654,0.889114732067865
"lloyds retail","a/logon/reentermemorableinformation.jsp",34516,"daily",654,0.8437536215088655
"lloyds retail","a/logoff/timedlogoff.jsp",32483,"daily",654,0.864559923652372
"lloyds retail","a/mobile/make_transfer",26924,"daily",654,0.865268905066112
"lloyds retail","a/sr_hub",25362,"daily",654,0.7740714454696002
"lloyds retail","a/mobile/make_payment",24324,"daily",654,0.8461396151948692
"lloyds retail","a/payments/mobile/maketransfer/maketransfersuccessful.jsp",20115,"daily",654,0.550608998260005
"lloyds retail","a/payments/mobile/maketransfer/maketransferconfirmation.jsp",19648,"daily",654,0.8022190553745928
"lloyds retail","a/payments/mobile/makepayment/makepaymentconfirmation.jsp",17599,"daily",654,0.7657821467128814
"lloyds retail","a/payments/mobile/makepayment/paymentsuccessful.jsp",15153,"daily",654,0.5263974130535207
"lloyds retail","AOV - Redesigned Desktop",117,"daily",654,0.452991452991453
